57400	2.46379e-05	0.0306415	3.65217e-13	4.60876e-11	4.92605e-12	1.86906e-11	3.94214e-11	1.1e-10	1.16167e-13	8.18663e-12	4.83671e-13	3.59529e-12	7.47194e-12	1.98586e-11	0.00124237	3.34132e-14	1.20454e-12	2.11801e-13	8.04147e-13	1.55469e-12	3.88819e-12	8.63384e-15	2.32685e-13	2.38053e-14	1.77144e-13	2.90399e-13	7.3298e-13	9.58534e-05	2.16715e-15	2.47357e-13	2.59153e-14	9.82709e-14	1.99895e-13	5.76579e-13	5.94306e-16	4.29673e-14	2.54128e-15	1.88928e-14	3.74149e-14	1.02411e-13	1.63309e-05	6.80291e-16	2.33832e-14	3.5155e-15	1.3356e-14	2.76857e-14	6.99421e-14	1.52472e-16	4.42451e-15	3.87189e-16	2.88053e-15	5.02481e-15	1.28695e-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57408.7	0.0174373	0.0120828	4.1401e-14	4.11266e-12	1.07342e-12	4.07124e-12	6.01152e-12	1.53402e-11	1.42533e-14	7.33735e-13	1.06828e-13	7.94508e-13	1.15885e-12	2.80881e-12	0.00072935	1.09464e-14	3.66081e-13	7.74751e-14	2.94101e-13	5.17924e-13	1.29574e-12	2.88912e-15	7.10287e-14	9.02168e-15	6.71756e-14	9.86971e-14	2.48919e-13	6.46302e-05	1.13513e-15	1.27095e-13	1.46773e-14	5.56806e-14	1.0689e-13	3.06983e-13	3.11425e-16	2.20698e-14	1.44465e-15	1.07416e-14	2.0003e-14	5.45705e-14	1.2582e-05	4.39451e-16	1.44175e-14	2.35697e-15	8.95104e-15	1.80463e-14	4.50967e-14	9.85313e-17	2.73455e-15	2.61527e-16	1.9459e-15	3.28965e-15	8.33017e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57434.9	0.0348465	0.00441856	5.81402e-15	6.63413e-13	1.97559e-13	7.49164e-13	7.35955e-13	2.35922e-12	2.07308e-15	1.17936e-13	2.0824e-14	1.5504e-13	1.48448e-13	4.44422e-13	0.00039882	2.78917e-15	8.88505e-14	2.18368e-14	8.29052e-14	1.32237e-13	3.36785e-13	7.53279e-16	1.72781e-14	2.68052e-15	1.99809e-14	2.57301e-14	6.64515e-14	3.6342e-05	5.42037e-16	6.05396e-14	7.05477e-15	2.67416e-14	5.0711e-14	1.4632e-13	1.48716e-16	1.0511e-14	6.97859e-16	5.18947e-15	9.49488e-15	2.60419e-14	9.31697e-06	2.52752e-16	7.9037e-15	1.4167e-15	5.38292e-15	1.04375e-14	2.59277e-14	5.67002e-17	1.50177e-15	1.59408e-16	1.18636e-15	1.91399e-15	4.81823e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57478.4	0.0522347	0.00232391	3.366e-15	4.30564e-13	7.62414e-14	2.89867e-13	3.59057e-13	1.16439e-12	1.11846e-15	7.6467e-14	8.30161e-15	6.18248e-14	7.06301e-14	2.18394e-13	0.000281422	1.04753e-15	3.07005e-14	9.13107e-15	3.46709e-14	5.04246e-14	1.29349e-13	2.90025e-16	6.00456e-15	1.17687e-15	8.78117e-15	1.00114e-14	2.62753e-14	2.17668e-05	1.83153e-16	1.73183e-14	3.09265e-15	1.17254e-14	1.97971e-14	5.22688e-14	5.03518e-17	2.99709e-15	3.08244e-16	2.29277e-15	3.68797e-15	9.33642e-15	6.5686e-06	1.19584e-16	3.49563e-15	7.19741e-16	2.73353e-15	4.95616e-15	1.22975e-14	2.68504e-17	6.65095e-16	8.29418e-17	6.17545e-16	9.18133e-16	2.31057e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57539.3	0.0695913	0.00144624	1.40212e-15	1.59987e-13	3.4557e-14	1.31436e-13	1.71231e-13	5.00072e-13	4.72406e-16	2.85006e-14	3.84994e-15	2.86775e-14	3.32144e-14	9.47371e-14	0.00023267	7.41885e-16	2.25564e-14	6.30778e-15	2.39519e-14	3.54325e-14	9.13126e-14	2.04106e-16	4.3982e-15	8.16937e-16	6.09647e-15	6.99766e-15	1.85214e-14	1.41917e-05	6.91928e-17	5.45264e-15	1.51681e-15	5.75301e-15	8.44491e-15	2.12657e-14	1.90668e-17	9.39303e-16	1.52558e-16	1.13507e-15	1.56918e-15	3.81518e-15	4.92351e-06	5.60519e-17	1.43136e-15	3.74109e-16	1.42035e-15	2.3395e-15	5.76354e-15	1.26037e-17	2.73707e-16	4.45667e-17	3.32024e-16	4.40127e-16	1.10303e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57617.4	0.086906	0.00101323	6.81125e-16	6.96522e-14	1.91889e-14	7.29029e-14	9.41867e-14	2.56952e-13	2.34937e-16	1.24469e-14	2.15811e-15	1.60763e-14	1.81987e-14	4.91264e-14	0.000206835	5.44599e-16	1.50566e-14	4.93758e-15	1.87436e-14	2.66333e-14	6.77373e-14	1.51969e-16	2.95978e-15	6.46116e-16	4.82237e-15	5.31617e-15	1.39024e-14	1.00841e-05	3.62992e-17	2.7357e-15	8.92686e-16	3.38393e-15	4.52779e-15	1.15914e-14	1.00129e-17	4.70496e-16	9.04025e-17	6.7275e-16	8.42407e-16	2.08607e-15	3.97616e-06	3.25418e-17	7.85725e-16	2.29366e-16	8.71108e-16	1.34704e-15	3.35292e-15	7.32389e-18	1.50355e-16	2.8051e-17	2.09093e-16	2.55854e-16	6.50676e-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57712.8	0.104169	0.000769922	3.96561e-16	3.77495e-14	1.24763e-14	4.74061e-14	5.90977e-14	1.57292e-13	1.39636e-16	6.75816e-15	1.40594e-15	1.04731e-14	1.14479e-14	3.02317e-14	0.000187918	3.96559e-16	1.04682e-14	3.78472e-15	1.43716e-14	1.9482e-14	4.98961e-14	1.12177e-16	2.06428e-15	5.06077e-16	3.77864e-15	3.93418e-15	1.03999e-14	7.65651e-06	2.17216e-17	1.60661e-15	5.81521e-16	2.20331e-15	2.71236e-15	7.13552e-15	5.99653e-18	2.76046e-16	5.92739e-17	4.41178e-16	5.05745e-16	1.28824e-15	3.41331e-06	2.52271e-17	6.56798e-16	1.72938e-16	6.56903e-16	1.02673e-15	2.60393e-15	5.67592e-18	1.25136e-16	2.12979e-17	1.58791e-16	1.94312e-16	5.05213e-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57408.7	0.0174373	0.0123035	4.57452e-14	4.67867e-12	1.12333e-12	4.26081e-12	6.46031e-12	1.6605e-11	1.56187e-14	8.34301e-13	1.11709e-13	8.30785e-13	1.24337e-12	3.03648e-12	0.000748372	1.18763e-14	4.01716e-13	8.28973e-14	3.14688e-13	5.60418e-13	1.40284e-12	3.12576e-15	7.78838e-14	9.61481e-15	7.15873e-14	1.06525e-13	2.68852e-13	6.11349e-05	1.07051e-15	1.21315e-13	1.36774e-14	5.19052e-14	9.95836e-14	2.8901e-13	2.93666e-16	2.10714e-14	1.34716e-15	1.00168e-14	1.86471e-14	5.13761e-14	1.37628e-05	5.01617e-16	1.6912e-14	2.64708e-15	1.00556e-14	2.04519e-14	5.15628e-14	1.12451e-16	3.2021e-15	2.93346e-16	2.18263e-15	3.72167e-15	9.51219e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57417.5	0.0246575	0.00756025	1.40992e-14	1.34653e-12	4.8534e-13	1.84067e-12	2.11929e-12	5.81679e-12	5.07316e-15	2.39901e-13	4.93232e-14	3.67002e-13	4.18732e-13	1.08027e-12	0.000548558	5.88575e-15	1.92821e-13	4.36439e-14	1.65684e-13	2.78516e-13	7.02975e-13	1.56941e-15	3.74368e-14	5.19791e-15	3.87212e-14	5.35998e-14	1.36584e-13	4.90852e-05	8.53285e-16	9.85839e-14	1.05751e-14	4.01151e-14	7.75356e-14	2.28889e-13	2.34025e-16	1.71286e-14	1.04336e-15	7.75812e-15	1.4534e-14	4.06981e-14	1.17569e-05	3.92048e-16	1.28381e-14	2.11121e-15	8.02128e-15	1.60889e-14	4.02453e-14	8.79076e-17	2.43483e-15	2.3486e-16	1.74757e-15	2.93461e-15	7.43978e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57443.6	0.0389595	0.00372399	5.09955e-15	6.19235e-13	1.52927e-13	5.80229e-13	5.97394e-13	1.96212e-12	1.77373e-15	1.10028e-13	1.62804e-14	1.21225e-13	1.19936e-13	3.69329e-13	0.00036091	2.29791e-15	7.43486e-14	1.78447e-14	6.77728e-14	1.08387e-13	2.77296e-13	6.19747e-16	1.44414e-14	2.2031e-15	1.64247e-14	2.10609e-14	5.47733e-14	3.21541e-05	4.26389e-16	4.60708e-14	5.84832e-15	2.21727e-14	4.1147e-14	1.16196e-13	1.17031e-16	7.99389e-15	5.79316e-16	4.30815e-15	7.69515e-15	2.06935e-14	8.65174e-06	2.11865e-16	6.44634e-15	1.2138e-15	4.60986e-15	8.77991e-15	2.17195e-14	4.75401e-17	1.22642e-15	1.3734e-16	1.02222e-15	1.61458e-15	4.0481e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
