0.1	0
0.100925	0
0.101859	0
0.102802	0
0.103753	0
0.104713	0
0.105682	0
0.10666	0
0.107647	0
0.108643	0
0.109648	0
0.110662	1.09444e-06
0.111686	3.05402e-06
0.11272	5.03273e-06
0.113763	7.02867e-06
0.114815	9.04183e-06
0.115878	1.1076e-05
0.11695	1.31275e-05
0.118032	1.51981e-05
0.119124	1.72878e-05
0.120226	1.93966e-05
0.121339	2.15265e-05
0.122462	2.36755e-05
0.123595	2.58437e-05
0.124738	2.8031e-05
0.125893	3.02413e-05
0.127057	3.24688e-05
0.128233	3.47192e-05
0.12942	3.69907e-05
0.130617	3.92814e-05
0.131826	4.1595e-05
0.133045	4.39277e-05
0.134277	4.62853e-05
0.135519	4.86621e-05
0.136773	5.10618e-05
0.138038	5.34826e-05
0.139316	5.59282e-05
0.140605	5.83949e-05
0.141906	6.08846e-05
0.143219	6.33972e-05
0.144544	6.59328e-05
0.145881	6.84913e-05
0.147231	7.10748e-05
0.148594	7.36831e-05
0.149968	7.63124e-05
0.151356	7.89686e-05
0.152757	8.16496e-05
0.15417	8.43536e-05
0.155597	8.70844e-05
0.157036	8.98381e-05
0.158489	9.26187e-05
0.159956	9.5426e-05
0.161436	9.82582e-05
0.16293	0.000101117
0.164437	0.000104001
0.165959	0.000106914
0.167494	0.000109851
0.169044	0.000112817
0.170608	0.00011581
0.172187	0.000118832
0.17378	0.00012188
0.175388	0.000124957
0.177011	0.000128063
0.178649	0.000131198
0.180302	0.000134361
0.18197	0.000137553
0.183654	0.000140776
0.185353	0.000144027
0.187068	0.000147309
0.188799	0.000150621
0.190546	0.000153965
0.192309	0.000157338
0.194089	0.000160745
0.195884	0.00016418
0.197697	0.000167649
0.199526	0.000171149
0.201372	0.000174682
0.203236	0.000178249
0.205116	0.000181847
0.207014	0.000185479
0.20893	0.000189145
0.210863	0.000356047
0.212814	0.000826096
0.214783	0.00130048
0.21677	0.0017792
0.218776	0.0022625
0.2208	0.00275014
0.222844	0.0032426
0.224905	0.00373915
0.226986	0.00424052
0.229087	0.0047467
0.231206	0.00525723
0.233346	0.00577281
0.235505	0.00629297
0.237684	0.00681795
0.239883	0.00734775
0.242103	0.00788261
0.244343	0.00842229
0.246604	0.00896702
0.248886	0.00951682
0.251189	0.0100717
0.253513	0.0106316
0.255859	0.0111968
0.258226	0.0117671
0.260615	0.0123427
0.263027	0.0129238
0.265461	0.0135102
0.267917	0.0141019
0.270396	0.0146992
0.272898	0.015302
0.275423	0.0159103
0.277971	0.0165242
0.280543	0.0171439
0.283139	0.0177693
0.285759	0.0184005
0.288403	0.0190375
0.291072	0.0196806
0.293765	0.0203294
0.296483	0.0209842
0.299226	0.0216451
0.301995	0.0223122
0.30479	0.0229856
0.30761	0.023665
0.310456	0.024822
0.313329	0.0328052
0.316228	0.0408606
0.319154	0.048991
0.322107	0.0571964
0.325087	0.0654769
0.328095	0.0738352
0.331131	0.0822712
0.334195	0.0907851
0.337287	0.0993768
0.340408	0.108049
0.343558	0.116802
0.346737	0.125635
0.349945	0.134549
0.353183	0.143547
0.356451	0.152627
0.359749	0.161791
0.363078	0.171042
0.366438	0.180378
0.369828	0.189798
0.37325	0.199306
0.376704	0.208904
0.380189	0.218588
0.383707	0.228363
0.387258	0.23823
0.390841	0.248186
0.394457	0.258234
